,Unnamed: 0,avgHigh,avgLow,date,index,max,min,recHigh,recLow
262,262,73.0,57.0,19-Sep,262,83.0,68.0,93.0,42.0
263,263,73.0,57.0,20-Sep,263,79.0,64.0,92.0,41.0
264,264,72.0,56.0,21-Sep,264,73.0,59.0,82.0,39.0
265,265,72.0,56.0,22-Sep,265,71.0,62.0,92.0,40.0
266,266,72.0,56.0,23-Sep,266,80.0,59.0,95.0,43.0
267,267,71.0,55.0,24-Sep,267,82.0,60.0,87.0,38.0
268,268,71.0,55.0,25-Sep,268,76.0,63.0,90.0,40.0
269,269,70.0,54.0,26-Sep,269,72.0,61.0,88.0,42.0
270,270,70.0,54.0,27-Sep,270,71.0,56.0,84.0,38.0
271,271,70.0,54.0,28-Sep,271,78.0,65.0,82.0,40.0
272,272,69.0,53.0,29-Sep,272,83.0,72.0,79.0,41.0
273,273,69.0,53.0,30-Sep,273,79.0,59.0,86.0,40.0
274,274,68.0,52.0,1-Oct,274,64.0,56.0,82.0,45.0
275,275,68.0,52.0,2-Oct,275,57.0,48.0,85.0,42.0
276,276,68.0,52.0,3-Oct,276,55.0,49.0,83.0,37.0
277,277,67.0,51.0,4-Oct,277,63.0,53.0,83.0,36.0
278,278,67.0,51.0,5-Oct,278,67.0,52.0,81.0,37.0
279,279,67.0,50.0,6-Oct,279,73.0,52.0,82.0,35.0
280,280,66.0,50.0,7-Oct,280,73.0,58.0,83.0,38.0
281,281,66.0,50.0,8-Oct,281,72.0,59.0,76.0,36.0
282,282,65.0,49.0,9-Oct,282,78.0,61.0,82.0,34.0
283,283,65.0,49.0,10-Oct,283,65.0,50.0,85.0,30.0
284,284,65.0,49.0,11-Oct,284,69.0,53.0,83.0,33.0
285,285,64.0,48.0,12-Oct,285,77.0,56.0,83.0,34.0
286,286,64.0,48.0,13-Oct,286,72.0,61.0,85.0,34.0
287,287,64.0,47.0,14-Oct,287,69,57,84.0,33.0
